logFC,ensid
ENSG00000065328,-0.532363516,ENSG00000065328
ENSG00000152154,1.259496527,ENSG00000152154
ENSG00000149948,0.436024861,ENSG00000149948
ENSG00000255526,-0.983047782,ENSG00000255526
ENSG00000176659,2.498663128,ENSG00000176659
ENSG00000124098,0.414837877,ENSG00000124098
ENSG00000054148,0.497897942,ENSG00000054148
ENSG00000008853,-0.459056854,ENSG00000008853
ENSG00000150991,0.398833694,ENSG00000150991
ENSG00000164930,0.450592481,ENSG00000164930
ENSG00000105854,-0.503861414,ENSG00000105854
ENSG00000187013,1.521138839,ENSG00000187013
ENSG00000196967,2.050877845,ENSG00000196967
ENSG00000168411,-0.423796514,ENSG00000168411
ENSG00000170961,0.477079584,ENSG00000170961
ENSG00000103044,1.154281739,ENSG00000103044
ENSG00000114529,0.789400335,ENSG00000114529
ENSG00000176170,0.899187652,ENSG00000176170
ENSG00000205664,0.764720306,ENSG00000205664
ENSG00000134590,0.543394622,ENSG00000134590
ENSG00000188735,-0.782358218,ENSG00000188735
ENSG00000263126,-0.922458082,ENSG00000263126
ENSG00000227110,2.401378337,ENSG00000227110
ENSG00000118412,-0.517119147,ENSG00000118412
ENSG00000136003,0.408011553,ENSG00000136003
ENSG00000161010,-0.700832165,ENSG00000161010
ENSG00000117399,-0.403708127,ENSG00000117399
ENSG00000146223,0.960190502,ENSG00000146223
ENSG00000272799,3.062724365,ENSG00000272799
ENSG00000230266,1.853967099,ENSG00000230266
ENSG00000187607,-1.230062786,ENSG00000187607
ENSG00000070214,0.472585294,ENSG00000070214
ENSG00000010072,-0.80529137,ENSG00000010072
ENSG00000261533,-1.554307289,ENSG00000261533
ENSG00000091129,-1.380882339,ENSG00000091129
ENSG00000161180,-1.398866756,ENSG00000161180
ENSG00000008086,1.14134961,ENSG00000008086
ENSG00000248121,2.355172479,ENSG00000248121
ENSG00000261408,0.796285877,ENSG00000261408
ENSG00000168811,0.928185061,ENSG00000168811
ENSG00000099994,1.266695293,ENSG00000099994
ENSG00000068308,0.420374991,ENSG00000068308
ENSG00000112249,0.393124501,ENSG00000112249
ENSG00000272979,-1.332327537,ENSG00000272979
ENSG00000234449,1.315376918,ENSG00000234449
ENSG00000213225,-1.678412269,ENSG00000213225
ENSG00000213988,-0.753936299,ENSG00000213988
ENSG00000164951,0.458900553,ENSG00000164951
ENSG00000108826,0.656525239,ENSG00000108826
ENSG00000226808,-1.994212765,ENSG00000226808
ENSG00000120733,-0.403297109,ENSG00000120733
ENSG00000148219,0.721047916,ENSG00000148219
ENSG00000233559,2.150666444,ENSG00000233559
ENSG00000269313,1.741770941,ENSG00000269313
ENSG00000175745,-0.470787037,ENSG00000175745
ENSG00000221914,0.491862103,ENSG00000221914
ENSG00000251550,-2.424444946,ENSG00000251550
ENSG00000270813,-3.039076156,ENSG00000270813
ENSG00000168952,-0.647286839,ENSG00000168952
ENSG00000196584,-0.512223482,ENSG00000196584
ENSG00000007545,1.147872565,ENSG00000007545
ENSG00000223891,0.899759694,ENSG00000223891
ENSG00000247950,-1.516519573,ENSG00000247950
