lncRNA,num_chipseq
ENSG00000279347,8
ENSG00000279423,5
ENSG00000279441,6
ENSG00000279488,5
ENSG00000279520,6
ENSG00000279537,5
ENSG00000279602,5
ENSG00000279636,5
ENSG00000279648,16
ENSG00000279721,9
ENSG00000279757,6
ENSG00000279758,10
ENSG00000279792,13
ENSG00000279799,5
ENSG00000279801,5
ENSG00000279806,11
ENSG00000279904,12
ENSG00000279958,5
ENSG00000279965,14
ENSG00000280025,10
ENSG00000280028,17
ENSG00000280073,6
ENSG00000280097,12
ENSG00000280134,7
ENSG00000280142,12
ENSG00000280147,7
ENSG00000280181,9
ENSG00000280214,5
ENSG00000280229,6
ENSG00000280287,6
ENSG00000280303,7
ENSG00000280304,6
ENSG00000280309,6
ENSG00000280362,11
ENSG00000280374,12
ENSG00000280377,5
ENSG00000280381,5
ENSG00000280416,9
ENSG00000280439,7
ENSG00000280486,5
ENSG00000280594,13
ENSG00000280744,10
ENSG00000281097,10
ENSG00000281160,5
ENSG00000281207,11
ENSG00000281376,5
ENSG00000281450,17
ENSG00000281473,9
ENSG00000281809,5
ENSG00000282057,5
ENSG00000282097,12
ENSG00000282111,9
ENSG00000282143,5
ENSG00000282317,16
ENSG00000282686,10
ENSG00000282772,9
ENSG00000283031,11
ENSG00000283360,6
ENSG00000283696,5
